CASE_T,DISTRICT,CASE_F,BUILD_NAME,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,TRANS_TARGET,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE,RENT_TYPE,RENT_PERIOD,MANAGE,RENT_SERVICE
買賣,中山區,車位,,復興南路一段36之6號等,0.39,,1150121,土地:1建物:1車位:6,,"地下一層,地下二層,地下三層",014,,共有部分,鋼筋混凝土造,0910920,59.09,,,,無,,,1380,0,-,"坡道平面1,坡道機械5",59.09,1380,有,,,,僅車位交易。,,,,
租賃,文山區,房屋,,興隆路三段185巷7弄4號二樓,0,,1150504,土地:建物:1車位:房間個數:,,二層,005,公寓(無電梯),住家用,,,26.24,3,1,1,有,無,冷氣4台、熱水器、洗衣機、瓦斯或天然氣、傢俱,2,838.41,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/15至116/05/14,無,社會住宅代管
租賃,萬華區,房屋,,雙園街40巷7號二樓,0,,1150501,土地:建物:1車位:房間個數:0,,二層,004,公寓(無電梯),住家用,,,18.11,2,2,1,有,無,冷氣3台、熱水器、洗衣機、電視機、冰箱、傢俱,3,1766.98,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/01至116/04/30,無,社會住宅代管
買賣,萬華區,房地(土地+建物),,長沙街二段88號十四樓之1,2.01,,1150312,土地:1建物:1車位:,,十四層,,大樓(11層含以上有電梯),住家用,,,23.09,2,1,2,有,,,1600,69.29,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
租賃,大安區,房屋,,敦化南路一段190巷33號二樓,0,,1150505,土地:建物:1車位:房間個數:,,二層,004,公寓(無電梯),,,,17.24,2,1,1,有,無,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,6,3599.36,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、水費、電費、瓦斯費、網路費、其他-清潔服務費。2樓B室,獨立套房,115/05/14至115/06/13,無,一般轉租
租賃,大同區,房屋,,重慶北路三段274號,0,,1150501,土地:建物:1車位:房間個數:,,見其他登記事項,004,透天厝,,,,89.7,12,4,8,有,無,冷氣9台、熱水器、電視機、冰箱、傢俱,14,0,-,,0,0,,,,,租賃標的：含增建或未登記建物。,整棟(戶)出租,115/05/01至118/08/31,無,一般轉租
租賃,大安區,房屋,,通化街38號八樓,0,,1150501,土地:建物:1車位:房間個數:0,,八層,008,華廈(10層含以下有電梯),見其他登記事項,,,25.23,2,2,1,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、傢俱,6,2298.85,否,,0,0,,,,,,整棟(戶)出租,115/05/05至116/05/04,有,無
買賣,士林區,房地(土地+建物)+車位,,福港街19巷3號四樓,7.21,,1150405,土地:1建物:1車位:2,,四層,,華廈(10層含以下有電梯),住家用,,,40.04,1,1,1,有,,,2618,65.38,是,"升降機械1,升降平面1",13.65,0,有,,,,,,,,
租賃,信義區,房屋,,忠孝東路五段790巷70弄1號四樓,0,,1150505,土地:建物:車位:房間個數:1,,四層,004,公寓(無電梯),住家用,,,3.3,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,3636.36,否,,0,0,,,,,租金：含下列其他衍生費用：網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/15至116/05/14,無,無
買賣,中山區,房地(土地+建物),,市民大道三段9號八樓,1.34,,1140817,土地:2建物:1車位:,,八層,,大樓(11層含以上有電梯),見其他登記事項,,,12.23,1,1,1,有,,,1775,145.13,否,,0,0,有,,,,預售屋、或土地及建物分件登記案件。,,,,
預售屋,松山區,房地(土地+建物)+車位,睿泰曜,臺北市松山區南京東路五段253號,2.84,,1150508,土地:11建物:1車位:1,0棟A號,十七層,021,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,44.63,3,2,2,有,,,5811,160.84,否,坡道平面1,10.74,360,,20.36,1.4,22.87,,,,,
買賣,萬華區,土地,,雙園段一小段0252-0000地號,1.21,,1150518,土地:1建物:0車位:,,,,,,,,0,,,,無,,,21,17.36,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
買賣,士林區,車位,,天母西路65號地下室,4.5,,1150519,土地:2建物:1車位:1,,地下層,,,見其他登記事項,,,10.6,,,,無,,,250,0,-,坡道平面1,0,250,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。僅車位交易。,,,,
租賃,大安區,房屋,,敦化南路二段81巷53號四樓,0,,1150430,土地:建物:車位:房間個數:2,,四層,004,公寓(無電梯),住家用,,,10.47,2,2,2,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,3,2626.55,否,,0,0,,,,,第 40B 室,分租套房,115/05/04至116/05/03,無,一般轉租
買賣,松山區,房地(土地+建物),,南京東路五段234號十二樓,1.89,,1150320,土地:1建物:1車位:,,十二層,,大樓(11層含以上有電梯),住家用,,,26.64,3,2,1,有,,,2200,82.58,否,,0,0,有,,,,建築物含有：陽台外推。,,,,
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,14.73,,1150506,土地:21建物:1車位:3,D棟D2-14F號,十四層,027,廠辦,商業用,見其他登記事項,,158.56,,,,無,,,10444,71.21,否,坡道平面3,22.56,760,,76.15,3.09,79.32,,,,,
預售屋,中山區,房地(土地+建物),賦格對位,臺北市中山區民權東路二段22號,2.07,,1150505,土地:39建物:1車位:,0棟H-14F號,十四層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,18.3,2,1,1,有,,,2526,138.03,否,,0,0,,10.89,0.93,6.48,,,,,
租賃,松山區,房屋,,敦化北路100號,0,,1150504,土地:建物:車位:房間個數:1,,十二層,015,住宅大樓(11層含以上有電梯),商業用,,,9.15,300,10,300,有,無,冷氣1台、熱水器、電視機、冰箱、傢俱,2,2131.15,否,,0,0,,,,,租金：含下列其他衍生費用：電費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/04至116/05/20,無,一般轉租
預售屋,北投區,房地(土地+建物)+車位,樺輝詠鑄,臺北市北投區洲美里洲美街,8.23,,1150501,土地:2建物:1車位:1,0棟A2號,十四層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,55.73,3,2,2,有,,,6638,141.72,否,坡道平面1,11.36,350,,25.39,3.02,27.32,毛胚屋。,,,,
買賣,內湖區,房地(土地+建物)+車位,,星雲街160號五樓,8.22,,1150411,土地:1建物:1車位:1,,五層,,大樓(11層含以上有電梯),住家用,,,47.84,3,2,2,有,,,3150,65.84,是,坡道平面1,11.93,0,有,,,,,,,,
買賣,大安區,房地(土地+建物),,信義路四段30巷18號十一樓之3,5.25,,1150109,土地:1建物:1車位:,,十一層,,大樓(11層含以上有電梯),見其他登記事項,,,34.62,2,1,2,有,,,5200,150.2,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,士林區,房地(土地+建物),,劍潭路71號五樓之2,5.8,,1150410,土地:1建物:1車位:,,五層,,大樓(11層含以上有電梯),住家用,,,32.92,2,2,1,有,,,2455,74.57,否,,0,0,有,,,,建築物含有：其他增建。,,,,
租賃,萬華區,房屋,,長沙街二段161號十一樓,0,,1150501,土地:建物:車位:房間個數:1,,十一層,011,住宅大樓(11層含以上有電梯),住家用,,,2.99,4,2,2,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,1,3678.93,否,,0,0,,,,,"租賃標的：租賃建物部分範圍，且未計入共有部分面積。其他：續租案件。含800元水電光熱費，已於租金總額扣除
此為雙人房型，床號1C-2",分租雅房,115/05/01至116/04/30,有,一般轉租
