交易日期,建物型態,每坪單價萬元,含車位,地址,緯度,經度
2026-04-11,住宅大樓,65.84,True,星雲街160號五樓,25.0803524,121.5960303
2026-05-15,住宅大樓,102.3,False,內湖路二段265號五樓之1,25.0821674,121.5903636
2026-03-30,華廈,78.16,True,成功路三段174巷43號四樓之6,25.0817825,121.5905535
2026-01-25,公寓,47.62,False,安康路448號四樓,25.0669919,121.615064
2026-04-06,公寓,65.99,False,內湖路三段143巷24號三樓,25.0870448,121.5889443
2026-05-07,公寓,14.21,False,環山路二段26巷3號五樓,25.0862166,121.5728895
2026-01-08,住宅大樓,108.64,False,文德路210巷30弄81號十二樓,25.0764948,121.5842808
2026-04-08,住宅大樓,50.76,True,金莊路100號二樓之8,25.0639143,121.5872739
2026-04-14,住宅大樓,68.89,False,石潭路27號五樓之5,25.0627923,121.5860883
2025-12-31,華廈,41.84,True,內湖路一段1巷9弄28號二樓,25.0861912,121.5573079
2026-03-14,住宅大樓,49.22,True,內湖路二段103巷119弄56號一樓,25.084364,121.581822
2026-03-25,公寓,51.28,False,內湖路三段60巷12弄36號三樓,25.088703,121.591735
2026-04-01,華廈,60.28,False,安泰街125巷38號二樓,25.0775819,121.6172918
2026-04-12,華廈,92.56,False,民權東路六段280巷45弄39號三樓,25.0702603,121.6059208
2026-05-19,華廈,43.9,True,新湖三路122號六樓,25.0641247,121.5775045
2026-03-15,華廈,87.39,False,內湖路二段355巷22號七樓,25.0843768,121.5921161
2026-03-25,華廈,78.02,False,民權東路六段190巷117弄35號四樓,25.0643636,121.5944417
2025-11-07,公寓,31.67,False,內湖路二段263巷30弄8之3號三樓,25.0832794,121.5895801
2026-05-18,華廈,80.73,False,內湖路二段114之1號二樓,25.0811641,121.5867075
2026-03-19,公寓,55.88,False,環山路二段53巷6弄17號二樓,25.0845892,121.5742493
2026-03-15,公寓,62.35,False,內湖路一段47巷2號四樓,25.085326,121.559189
2026-04-22,公寓,36.52,False,麗山街62巷18弄5號,25.0816062,121.5787785
2026-03-24,華廈,54.67,False,康樂街61巷17號五樓,25.0691753,121.6194268
2026-05-14,公寓,51.48,False,康寧路三段99巷10弄5號,25.0722231,121.6105953
2026-03-17,公寓,55.22,False,康寧路三段190巷3號二樓,25.0686502,121.6116556
2026-05-12,公寓,55.78,False,環山路一段100號三樓,25.08657,121.5677873
2026-03-08,華廈,103.73,False,內湖路一段203巷9號六樓之1,25.0841185,121.5636729
2026-03-20,住宅大樓,78.45,False,民權東路六段150號十樓,25.0686469,121.5901045
2026-02-10,住宅大樓,77.42,False,內湖路二段352號二樓之2,25.0819232,121.5904639
2026-01-13,住宅大樓,70.0,False,新明路323號十二樓之3,25.0565313,121.5842747
2026-04-06,公寓,63.21,False,星雲街74號四樓,25.0789111,121.5927741
2026-03-19,公寓,71.35,True,大湖街160巷22弄12之1號,25.0821853,121.600475
2026-03-27,公寓,57.2,False,港華街85巷6號四樓,25.0837321,121.574254
2026-03-09,華廈,80.63,True,文湖街21巷91弄9號四樓,25.0910277,121.5589456
